Date,Open,High,Low,Close,Adj Close,Volume
2021-11-24,239.139999,241.210007,238.630005,241.210007,234.655701,2195400
2021-11-26,237.240005,238.100006,234.940002,235.990005,229.577515,5730300
2021-11-29,238.479996,239.279999,236.520004,238.210007,231.737213,4789200
2021-11-30,236.990005,237.729996,233.100006,233.449997,227.106552,7231400
2021-12-01,236.410004,237.869995,229.880005,230.160004,223.905945,5274700
2021-12-02,230.210007,234.679993,230.089996,233.899994,227.544312,4257400
2021-12-03,234.830002,235.270004,229.020004,231.190002,224.907959,5821900
2021-12-06,232.610001,235.179993,230.949997,234.160004,227.797256,4210600
2021-12-07,237.559998,239.699997,237.339996,239.169998,232.671143,4284700
2021-12-08,239.570007,240.380005,238.639999,240.199997,233.673126,3417400
2021-12-09,239.520004,239.899994,237.779999,237.910004,231.445358,2853800
2021-12-10,239.419998,239.869995,237.570007,239.529999,233.021347,2610800
2021-12-13,239.500000,239.600006,237.139999,237.350006,230.900574,5839100
2021-12-14,235.449997,236.860001,234.050003,235.570007,229.168961,3360400
2021-12-15,235.559998,239.250000,233.850006,239.199997,232.700302,3720700
2021-12-16,240.289993,240.490005,235.660004,236.520004,230.093140,3876100
2021-12-17,235.000000,237.160004,233.339996,235.440002,229.042480,4455100
2021-12-20,232.100006,232.350006,230.070007,232.130005,225.822418,5839800
2021-12-21,234.190002,236.839996,233.220001,236.679993,230.248795,4158800
2021-12-22,236.630005,239.100006,236.550003,239.020004,232.525192,3202900
2021-12-23,239.869995,241.360001,239.500000,240.669998,234.130341,2925100
2021-12-27,240.479996,242.960007,240.339996,242.960007,237.204803,4395100
2021-12-28,243.059998,243.779999,242.039993,242.460007,236.716614,3960900
2021-12-29,242.550003,243.160004,241.710007,242.600006,236.853302,3044300
2021-12-30,243.110001,243.690002,242.000000,242.210007,236.472534,4501500
2021-12-31,242.089996,242.690002,241.440002,241.440002,235.720779,3499900
2022-01-03,242.419998,242.970001,240.860001,242.970001,237.214539,4204000
2022-01-04,243.729996,244.059998,241.350006,242.509995,236.765411,4217000
2022-01-05,242.080002,242.660004,237.199997,237.250000,231.630020,4878300
2022-01-06,237.199997,238.770004,235.539993,237.190002,231.571457,4519200
2022-01-07,237.190002,238.070007,235.320007,236.110001,230.517044,3580200
2022-01-10,234.210007,235.839996,230.970001,235.699997,230.116730,5819600
2022-01-11,235.710007,238.110001,234.089996,238.050003,232.411072,3524800
2022-01-12,239.039993,239.850006,237.309998,238.419998,232.772324,4033100
2022-01-13,239.179993,239.399994,234.479996,234.929993,229.364975,4049300
2022-01-14,233.500000,235.130005,232.309998,235.020004,229.452850,3829900
2022-01-18,232.500000,232.699997,229.940002,230.449997,224.991104,6511600
2022-01-19,231.220001,232.160004,227.899994,228.029999,222.628433,4868100
2022-01-20,229.130005,231.910004,225.139999,225.369995,220.031433,5175100
2022-01-21,224.619995,226.089996,220.830002,220.910004,215.677078,8582600
2022-01-24,217.990005,222.570007,212.100006,222.330002,217.063446,22004300
2022-01-25,219.100006,222.020004,215.639999,219.220001,214.027115,6600400
2022-01-26,222.720001,224.160004,216.050003,218.369995,213.197266,7096400
2022-01-27,220.809998,222.399994,215.899994,216.750000,211.615616,5789200
2022-01-28,217.500000,222.169998,214.929993,222.089996,216.829132,4961200
2022-01-31,222.089996,226.949997,221.220001,226.809998,221.437317,5306400
2022-02-01,227.940002,228.929993,225.139999,228.539993,223.126358,4697600
2022-02-02,229.889999,230.440002,227.990005,230.050003,224.600571,4048200
2022-02-03,226.809998,227.929993,224.130005,224.580002,219.260147,4217700
2022-02-04,224.830002,227.990005,223.320007,226.070007,220.714874,3585300
2022-02-07,226.479996,227.380005,224.839996,225.500000,220.158356,2757300
2022-02-08,225.270004,228.050003,224.479996,227.570007,222.179337,3075500
2022-02-09,229.860001,231.300003,229.600006,231.270004,225.791687,3698700
2022-02-10,228.160004,231.809998,226.139999,227.350006,221.964539,3511200
2022-02-11,227.380005,228.500000,222.009995,222.940002,217.658981,4839800
2022-02-14,222.520004,223.550003,220.300003,222.119995,216.858429,4402100
2022-02-15,224.580002,226.169998,224.399994,226.070007,220.714874,4406200
2022-02-16,225.000000,226.880005,223.809998,226.279999,220.919891,4812400
2022-02-17,224.410004,224.699997,220.720001,221.139999,215.901642,5784600
2022-02-18,221.139999,221.990005,218.210007,219.369995,214.173584,7007900
2022-02-22,218.110001,220.080002,215.059998,216.850006,211.713257,7748900
2022-02-23,218.570007,218.830002,212.570007,212.860001,207.817764,7684500
2022-02-24,207.639999,216.850006,207.000000,216.589996,211.459412,10471000
2022-02-25,217.279999,221.440002,216.160004,221.410004,216.165222,4615100
2022-02-28,219.250000,222.059998,218.250000,221.169998,215.930923,4219800
2022-03-01,220.619995,221.490005,216.330002,217.720001,212.562653,4765000
2022-03-02,219.000000,222.610001,218.419998,221.850006,216.594818,3884900
2022-03-03,222.539993,223.089996,219.190002,220.160004,214.944855,4161700
2022-03-04,218.210007,218.610001,215.850006,217.960007,212.796967,4518100
